City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Meulaboh,ID,76.23,broken clouds,4.1363,96.1285,Kost Pria
7,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Ranong,TH,76.05,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
15,Tandalti,SD,83.93,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
19,Mahebourg,MU,78.8,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Rikitea,PF,80.06,clear sky,-23.1203,-134.9692,Pension Maro'i
26,Marataizes,BR,76.05,clear sky,-21.0433,-40.8244,Ed. Barra Shopping
29,Sola,VU,81.3,overcast clouds,-13.8833,167.55,Leumerus Bungalows
31,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
33,Atuona,PF,80.33,few clouds,-9.8,-139.0333,Villa Enata
38,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
41,Buala,SB,83.79,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
42,Vaini,TO,86.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
44,Bandarbeyla,SO,76.48,clear sky,9.4942,50.8122,JABIR HOTEL
46,Arraial Do Cabo,BR,77.74,clear sky,-22.9661,-42.0278,Pousada Porto Praia
59,Santa Isabel,BR,75.2,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
66,Asyut,EG,77.0,clear sky,27.181,31.1837,Florence Hotel Assiut
67,Takoradi,GH,80.38,broken clouds,4.8845,-1.7554,Raybow International Hotel
68,Cabo San Lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
70,Ugoofaaru,MV,82.94,clear sky,5.6667,73.0,Ungoofaaru Inn
72,Morant Bay,JM,82.4,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
74,Angoram,PG,78.48,overcast clouds,-4.0625,144.0661,
75,Alta Floresta,BR,77.0,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
76,Butaritari,KI,82.56,few clouds,3.0707,172.7902,Isles Sunset Lodge
81,Bandiagara,ML,88.99,broken clouds,14.3501,-3.6104,Hotel de la Falaise
