,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-7.6,71,1,6.91,clear sky
1,Albany,US,42.6001,-73.9662,51.8,29,20,14.97,few clouds
2,Winslow,US,35.0242,-110.6974,70.0,19,1,28.77,clear sky
3,Lompoc,US,34.6391,-120.4579,57.2,51,1,19.57,clear sky
4,Mehamn,NO,71.0357,27.8492,31.93,84,100,14.18,light snow
5,Meulaboh,ID,4.1363,96.1285,76.23,89,73,5.23,broken clouds
6,Kodiak,US,57.79,-152.4072,37.4,87,90,5.75,light rain
7,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,10.36,few clouds
8,Ucluelet,CA,48.9329,-125.5528,48.0,61,75,20.71,broken clouds
9,Ilo,PE,-17.6394,-71.3375,71.6,83,0,18.41,clear sky
10,Leningradskiy,RU,69.3833,178.4167,-10.25,84,100,1.81,overcast clouds
11,Ranong,TH,9.9658,98.6348,76.05,88,78,2.37,broken clouds
12,Hilo,US,19.7297,-155.09,71.6,78,90,8.05,light rain
13,Airai,TL,-8.9266,125.4092,64.4,80,47,2.44,scattered clouds
14,Bluff,NZ,-46.6,168.3333,55.0,94,88,7.0,overcast clouds
15,Tandalti,SD,13.0167,31.8667,83.93,17,14,12.26,few clouds
16,Ushuaia,AR,-54.8,-68.3,48.2,71,40,34.52,scattered clouds
17,East London,ZA,-33.0153,27.9116,69.53,80,54,17.67,broken clouds
18,Nsanje,MW,-16.92,35.262,72.36,98,58,2.84,broken clouds
19,Mahebourg,MU,-20.4081,57.7,78.8,89,40,11.5,moderate rain
20,Mataura,NZ,-46.1927,168.8643,55.0,94,89,7.0,overcast clouds
21,Severo-Kurilsk,RU,50.6789,156.125,24.49,80,86,21.21,overcast clouds
22,De-Kastri,RU,51.4667,140.7833,29.28,86,100,16.06,overcast clouds
23,Busselton,AU,-33.65,115.3333,68.65,46,0,3.74,clear sky
24,Rikitea,PF,-23.1203,-134.9692,80.06,72,5,6.22,clear sky
25,Esperance,AU,-33.8667,121.9,57.2,94,37,11.5,scattered clouds
26,Marataizes,BR,-21.0433,-40.8244,76.05,87,0,9.13,clear sky
27,Yellowknife,CA,62.456,-114.3525,10.4,67,75,18.41,snow
28,New Norfolk,AU,-42.7826,147.0587,66.0,51,9,1.99,clear sky
29,Sola,VU,-13.8833,167.55,81.3,75,93,10.47,overcast clouds
30,Peddapalli,IN,18.6167,79.3667,74.84,41,36,1.79,scattered clouds
31,Avarua,CK,-21.2078,-159.775,84.2,79,20,9.22,light rain
32,Mercedes,AR,-34.6515,-59.4307,66.0,84,80,7.87,broken clouds
33,Atuona,PF,-9.8,-139.0333,80.33,79,15,13.38,few clouds
34,Portland,US,45.5234,-122.6762,52.0,71,75,9.22,broken clouds
35,Carnarvon,AU,-24.8667,113.6333,71.6,83,0,5.75,clear sky
36,Hobart,AU,-42.8794,147.3294,66.2,52,75,8.05,broken clouds
37,Lingdong,CN,46.5669,131.1453,30.43,95,100,3.71,light snow
38,Cayenne,GF,4.9333,-52.3333,78.8,83,75,8.05,broken clouds
39,Sorland,NO,67.667,12.6934,33.46,72,100,36.01,light snow
40,Dikson,RU,73.5069,80.5464,-23.82,82,7,17.69,clear sky
41,Buala,SB,-8.145,159.5921,83.79,75,99,3.24,moderate rain
42,Vaini,TO,-21.2,-175.2,86.0,74,40,6.91,scattered clouds
43,Naze,JP,28.3667,129.4833,66.2,94,75,9.22,broken clouds
44,Bandarbeyla,SO,9.4942,50.8122,76.48,79,3,9.4,clear sky
45,Hami,CN,42.8,93.45,33.94,16,0,4.92,clear sky
46,Arraial Do Cabo,BR,-22.9661,-42.0278,77.74,84,7,18.16,clear sky
47,Nanortalik,GL,60.1432,-45.2371,31.33,98,100,9.66,snow
48,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,84,75,6.91,broken clouds
49,Vostok,RU,46.4856,135.8833,23.38,86,97,4.63,overcast clouds
50,Haines Junction,CA,60.7522,-137.5108,12.2,40,100,5.75,overcast clouds
51,Kushmurun,KZ,52.4503,64.6311,28.22,91,77,14.47,broken clouds
52,Yeniseysk,RU,58.4497,92.1703,21.58,90,100,7.67,overcast clouds
53,San Patricio,US,28.017,-97.5169,66.0,55,1,17.27,clear sky
54,Torbay,CA,47.6666,-52.7314,24.01,68,75,13.8,broken clouds
55,Atar,MR,20.5169,-13.0499,70.86,12,34,11.01,scattered clouds
56,Avera,US,33.194,-82.5271,55.4,47,90,13.8,overcast clouds
57,Kaitangata,NZ,-46.2817,169.8464,60.01,70,74,5.01,broken clouds
58,Kruisfontein,ZA,-34.0033,24.7314,63.0,84,15,1.99,light rain
59,Santa Isabel,BR,-23.3156,-46.2214,75.2,88,40,3.44,scattered clouds
60,La Paz,BO,-16.5,-68.15,48.2,76,75,2.3,broken clouds
61,Teya,RU,60.3778,92.6267,19.11,96,100,4.23,overcast clouds
62,Fortuna,US,40.5982,-124.1573,55.99,62,40,13.8,scattered clouds
63,San Quintin,MX,30.4833,-115.95,63.82,67,0,24.65,clear sky
64,Chapleau,CA,47.8405,-83.4034,50.0,22,1,12.66,clear sky
65,Sandwick,GB,60.0,-1.25,42.8,61,75,14.97,broken clouds
66,Asyut,EG,27.181,31.1837,77.0,29,0,13.8,clear sky
67,Takoradi,GH,4.8845,-1.7554,80.38,82,59,6.02,broken clouds
68,Cabo San Lucas,MX,22.8909,-109.9124,86.0,21,1,4.61,clear sky
69,Khatanga,RU,71.9667,102.5,-38.07,97,20,9.01,few clouds
70,Ugoofaaru,MV,5.6667,73.0,82.94,68,7,6.51,clear sky
71,Lebu,CL,-37.6167,-73.65,58.32,78,4,6.29,clear sky
