City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Corpus Christi,US,2021-03-20 20:26:16,27.8006,-97.3964,69.01,49,20,4.61
1,Punta Arenas,CL,2021-03-20 20:21:21,-53.15,-70.9167,51.8,58,75,34.52
2,Mujiayingzi,CN,2021-03-20 20:26:17,42.1167,118.7833,25.72,42,64,19.35
3,Parker,US,2021-03-20 20:26:17,32.7668,-97.8003,69.01,43,0,4.0
4,Tautira,PF,2021-03-20 20:26:17,-17.7333,-149.15,87.8,66,75,13.8
5,Jamestown,US,2021-03-20 20:23:12,42.097,-79.2353,51.8,20,1,2.68
6,East London,ZA,2021-03-20 20:26:18,-33.0153,27.9116,71.44,86,75,14.03
7,Provideniya,RU,2021-03-20 20:26:18,64.3833,-173.3,2.86,78,100,15.14
8,Zyryanka,RU,2021-03-20 20:26:19,65.75,150.85,-13.16,82,0,7.27
9,Rikitea,PF,2021-03-20 20:26:19,-23.1203,-134.9692,79.66,75,10,8.03
10,Hermanus,ZA,2021-03-20 20:26:19,-34.4187,19.2345,55.99,91,3,7.36
11,The Pas,CA,2021-03-20 20:26:20,53.8251,-101.2541,48.2,53,40,4.61
12,Constitucion,CL,2021-03-20 20:26:20,-35.3333,-72.4167,64.92,62,100,8.03
13,Hervey Bay,AU,2021-03-20 20:26:20,-25.2986,152.8535,73.0,93,72,1.01
14,Mataura,NZ,2021-03-20 20:26:20,-46.1927,168.8643,54.0,96,95,1.01
15,Antofagasta,CL,2021-03-20 20:26:21,-23.65,-70.4,73.99,72,20,17.27
16,Saint-Joseph,RE,2021-03-20 20:26:21,-21.3667,55.6167,78.8,83,20,11.5
17,Busselton,AU,2021-03-20 20:26:21,-33.65,115.3333,68.95,45,0,4.72
18,Tucuman,AR,2021-03-20 20:24:23,-26.8241,-65.2226,68.0,94,90,11.5
19,Harper,LR,2021-03-20 20:26:22,4.375,-7.7169,79.79,80,100,7.96
20,Rawson,AR,2021-03-20 20:26:22,-43.3002,-65.1023,63.66,53,0,17.74
21,Faanui,PF,2021-03-20 20:26:22,-16.4833,-151.75,82.9,63,2,5.79
22,Thompson,CA,2021-03-20 20:24:13,55.7435,-97.8558,51.8,32,20,8.05
23,Bredasdorp,ZA,2021-03-20 20:26:23,-34.5322,20.0403,55.4,88,69,2.3
24,Marsh Harbour,BS,2021-03-20 20:26:23,26.5412,-77.0636,73.51,78,40,9.26
25,Liptovsky Hradok,SK,2021-03-20 20:26:23,49.0396,19.7234,27.0,74,75,3.44
26,Nanortalik,GL,2021-03-20 20:26:23,60.1432,-45.2371,34.2,98,100,6.85
27,Aklavik,CA,2021-03-20 20:26:24,68.2191,-135.0107,-4.0,59,20,4.61
28,Plettenberg Bay,ZA,2021-03-20 20:26:24,-34.0527,23.3716,63.82,88,93,9.44
29,Paamiut,GL,2021-03-20 20:26:25,61.994,-49.6678,30.6,97,100,9.86
30,Saryozek,KZ,2021-03-20 20:26:25,44.3583,77.9753,36.0,43,68,2.53
31,Urumita,CO,2021-03-20 20:26:25,10.5589,-73.0123,91.42,36,100,11.18
32,Beisfjord,NO,2021-03-20 20:26:26,68.3751,17.5988,32.0,93,90,13.8
33,Hobart,AU,2021-03-20 20:21:57,-42.8794,147.3294,59.0,67,75,6.91
34,Redmond,US,2021-03-20 20:26:26,47.674,-122.1215,48.99,84,100,3.2
35,Kodiak,US,2021-03-20 20:23:57,57.79,-152.4072,35.6,93,90,15.75
36,Qaanaaq,GL,2021-03-20 20:26:26,77.484,-69.3632,-6.92,99,100,5.61
37,Saint Anthony,US,2021-03-20 20:26:27,45.0205,-93.218,57.99,28,1,21.85
38,Sao Filipe,CV,2021-03-20 20:26:27,14.8961,-24.4956,72.28,69,74,3.29
39,Saint George,US,2021-03-20 20:26:28,37.1041,-113.5841,70.0,26,20,33.38
40,Tuktoyaktuk,CA,2021-03-20 20:24:25,69.4541,-133.0374,-16.6,76,75,8.05
41,Atuona,PF,2021-03-20 20:26:28,-9.8,-139.0333,80.01,78,23,13.13
42,Barrow,US,2021-03-20 20:26:29,71.2906,-156.7887,-9.4,77,1,8.05
43,Cape Town,ZA,2021-03-20 20:26:29,-33.9258,18.4232,66.0,68,20,18.41
44,Lewisburg,US,2021-03-20 20:21:51,35.4492,-86.7889,63.0,34,1,5.75
45,Ribeira Grande,PT,2021-03-20 20:26:29,38.5167,-28.7,60.8,77,20,13.8
46,Rosetown,CA,2021-03-20 20:26:29,51.5501,-108.0014,55.4,30,87,4.61
47,Henties Bay,NA,2021-03-20 20:26:30,-22.116,14.2845,62.01,89,0,3.0
48,Barao De Cocais,BR,2021-03-20 20:26:30,-19.9458,-43.4872,82.4,44,40,11.5
49,Portland,US,2021-03-20 20:26:15,45.5234,-122.6762,52.0,66,75,11.5
50,Ponta Do Sol,PT,2021-03-20 20:26:31,32.6667,-17.1,59.0,59,30,10.0
51,Tiksi,RU,2021-03-20 20:26:31,71.6872,128.8694,-18.02,99,100,10.31
52,Nikolskoye,RU,2021-03-20 20:26:31,59.7035,30.7861,27.0,86,90,8.95
53,Albany,US,2021-03-20 20:23:09,42.6001,-73.9662,57.0,18,0,5.01
54,Hasaki,JP,2021-03-20 20:26:32,35.7333,140.8333,59.0,88,75,6.91
55,Victoria,HK,2021-03-20 20:24:15,22.2855,114.1577,75.99,82,36,2.75
56,Mogadishu,SO,2021-03-20 20:26:32,2.0371,45.3438,80.78,83,34,15.79
57,Carnarvon,AU,2021-03-20 20:26:33,-24.8667,113.6333,75.2,78,0,9.22
58,Tateyama,JP,2021-03-20 20:26:33,34.9833,139.8667,64.0,84,100,3.0
59,Tarut,SA,2021-03-20 20:26:33,26.5733,50.0369,64.4,42,0,6.91
